k162a,k162b,k20a1,k82a,k82b,k11,b5,a4a,a3a,a6a,l1,b2a,b2b,b4,b4a,b3a,b7,b7a,d2,n3,f1,k21,k6,k9,k3a,k3bc,k3e,k3f,k3dgh,k5a,k5bc,k5e,k5f,k14a,k14b,k14c,k14d,k15a,k33,k38,b6b,c22b,h1,h5,h8,l9b,l10,c6,c7,c9a,c10,k30,c30a,j30f,j30e,e30,d30a,j30a,j30b,k17,m1a,firm_age,registration_age,sales_growth,d2_win,n3_win,k11_win,k15a_win,l1_win,c7_win,ln_sales,ln_sales3,ln_loan,ln_employees,ln_collateral,sector_label,region_label,size_label,sme_size,credit_uptake,has_credit,loan_approved,creditworthy
0.0,0.0,,0.0,0.0,,1989.0,7,6,2,6.0,100.0,0.0,0.0,,1.0,36.0,0.0,40000000.0,10000000.0,,0.0,1.0,,60.0,0.0,0.0,30.0,0.0,70.0,0.0,0.0,0.0,,,,,,50.0,50.0,2024.0,1.0,0.0,1.0,0.0,80.0,0.0,0.0,,,1.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,12.0,35.0,0.0,300.0,40000000.0,10000000.0,,,6.0,,17.50439003707821,16.118095750958314,,1.9459101490553132,,Other Services,South West,Medium,Small,0.0,0.0,,0
1.0,0.0,,0.0,0.0,,1983.0,7,3,3,35.0,100.0,0.0,0.0,,1.0,33.0,0.0,480000000.0,812000000.0,,1.0,1.0,,0.0,30.0,0.0,10.0,0.0,,,,,,,,,,90.0,70.0,1986.0,0.0,1.0,0.0,0.0,80.0,1.0,1.0,15.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,,4.0,41.0,38.0,-40.88669950738916,480000000.0,812000000.0,,,35.0,15.0,19.989296663949546,20.515010899357478,,3.58351893845611,,Other Services,North West,Large,Medium,1.0,0.0,,0
0.0,0.0,,0.0,0.0,,2015.0,1,4,1,35.0,100.0,0.0,0.0,,0.0,9.0,0.0,20000000.0,15000000.0,,0.0,1.0,,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,60.0,60.0,2015.0,1.0,0.0,0.0,0.0,90.0,0.0,0.0,,,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,9.0,9.0,33.33333333333333,20000000.0,15000000.0,,,35.0,,16.811242881518265,16.52356082573315,,3.58351893845611,,Food,South East,Small,Medium,0.0,0.0,,0
1.0,1.0,3.0,0.0,0.0,,2008.0,7,5,1,5.0,100.0,0.0,0.0,,1.0,15.0,0.0,30000000.0,19000000.0,90.0,0.0,0.0,,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,40.0,40.0,,0.0,0.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,,14.0,16.0,,57.89473684210527,30000000.0,19000000.0,,,5.0,7.0,17.216707972959764,16.759949589762293,,1.791759469228055,,Other Services,South South,Small,Small,1.0,0.0,0.0,0
0.0,0.0,,0.0,0.0,,2013.0,3,6,2,10.0,100.0,0.0,0.0,,1.0,14.0,0.0,50000000.0,30000000.0,,0.0,1.0,,80.0,0.0,0.0,10.0,5.0,,,,,,,,,,50.0,50.0,2016.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,5.0,,1.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,12.0,11.0,8.0,66.66666666666666,50000000.0,30000000.0,,,10.0,5.0,17.72753358339242,17.216707972959764,,2.3978952727983707,,Fabricated Metals,South West,Medium,Small,0.0,0.0,,0
0.0,0.0,,1.0,1.0,1500000000.0,1999.0,4,5,3,60.0,100.0,0.0,0.0,,0.0,18.0,0.0,3000000000.0,,75.0,1.0,1.0,1.0,60.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,100.0,100.0,,0.0,0.0,0.0,1.0,100.0,1.0,1.0,,0.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,25.0,,,3000000000.0,,1500000000.0,,60.0,,21.821878125947855,,21.12873094572124,4.110873864173311,,Other Manufacturing,South South,Large,Medium,0.0,1.0,,1
0.0,0.0,,0.0,0.0,,2009.0,3,4,2,21.0,100.0,0.0,1.0,30.0,0.0,15.0,0.0,75000000.0,65000000.0,100.0,1.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,80.0,80.0,2009.0,1.0,0.0,0.0,0.0,70.0,0.0,0.0,,,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,15.0,15.0,15.384615384615385,75000000.0,65000000.0,,,21.0,,18.132998684833918,17.989897843244528,,3.091042453358316,,Fabricated Metals,South East,Medium,Medium,0.0,0.0,,0
0.0,0.0,,,,,1943.0,4,6,3,400.0,0.0,100.0,0.0,,0.0,35.0,0.0,15000000000.0,13000000000.0,80.0,1.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,100.0,100.0,1964.0,1.0,0.0,0.0,1.0,100.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,81.0,60.0,15.384615384615385,15000000000.0,13000000000.0,,,400.0,15.0,23.431316038115288,23.28821519448487,,5.993961427306569,,Other Manufacturing,South West,Large,Large,0.0,,,0
0.0,0.0,,0.0,0.0,,,7,5,2,20.0,100.0,0.0,0.0,,0.0,5.0,0.0,300000000.0,,80.0,1.0,1.0,,80.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,80.0,90.0,2023.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,15.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,,1.0,,300000000.0,,,,20.0,15.0,19.519293035953808,,,3.044522437723423,,Other Services,South South,Medium,Medium,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2013.0,7,6,3,7.0,100.0,0.0,0.0,,1.0,12.0,0.0,23650000.0,19500000.0,,0.0,1.0,,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,75.0,70.0,2014.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,13.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,11.0,11.0,10.0,21.28205128205128,23650000.0,19500000.0,,,7.0,13.0,16.978873715185514,16.785925074816024,,2.0794415416798357,,Other Services,South West,Large,Small,0.0,0.0,,0
